Year,State,District,Water Level
2020-21,Puducherry,Puducherry,20 to 40 Pre Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Budgam,0 to 2 Pre Monsoon (in mbgl)
2021-22,Bihar,Supaul,2 to 5 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Tiruppur,10 to 20 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Rampur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Odisha,Kandhamal,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Munger,5 to 10 Pre Monsoon (in mbgl)
2020-21,Assam,Sonitpur,2 to 5 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Kushinagar,2 to 5 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Theni,10 to 20 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Chhindwara,10 to 20 Pre Monsoon (in mbgl)
2020-21,Haryana,Mewat,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Neemuch,5 to 10 Pre Monsoon (in mbgl)
2019-20,Karnataka,Tumkur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Alwar,20 to 40 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Faizabad,5 to 10 Pre Monsoon (in mbgl)
2021-22,West Bengal,Uttar Dinajpur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Karnataka,Haveri,5 to 10 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Nashik,5 to 10 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Tiruvarur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Punjab,Gurdaspur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Amroha,10 to 20 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Namakkal,10 to 20 Pre Monsoon (in mbgl)
2021-22,West Bengal,North 24 Parganas,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Krishnagiri,5 to 10 Pre Monsoon (in mbgl)
2021-22,Assam,Goalpara,2 to 5 Pre Monsoon (in mbgl)
2019-20,Maharashtra,Solapur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Karnataka,Tumkur,2 to 5 Pre Monsoon (in mbgl)
2019-20,Maharashtra,Sangli,2 to 5 Pre Monsoon (in mbgl)
2019-20,Delhi,South Delhi,>40 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Dindori,5 to 10 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Nagapattinam,2 to 5 Pre Monsoon (in mbgl)
2021-22,Odisha,Koraput,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Jamtara,5 to 10 Pre Monsoon (in mbgl)
2021-22,Assam,Cachar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Srinagar,2 to 5 Pre Monsoon (in mbgl)
2019-20,Maharashtra,Nashik,5 to 10 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Sikar,>40 Pre Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Doda,0 to 2 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Bikaner,>40 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Pudukkottai,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Kancheepuram,2 to 5 Pre Monsoon (in mbgl)
2021-22,Punjab,Nawanshahr/Sbs Nagar,20 to 40 Pre Monsoon (in mbgl)
2019-20,Odisha,Khordha,5 to 10 Pre Monsoon (in mbgl)
2020-21,Punjab,Tarn Taran,20 to 40 Pre Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Rajauri,2 to 5 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Giridih,5 to 10 Pre Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Tawang,0 to 2 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Vellore,5 to 10 Pre Monsoon (in mbgl)
2020-21,Haryana,Bhiwani,2 to 5 Pre Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Tirap,2 to 5 Pre Monsoon (in mbgl)
2019-20,Maharashtra,Chandrapur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Namakkal,10 to 20 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Anuppur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Anjaw,2 to 5 Pre Monsoon (in mbgl)
2020-21,Assam,Baksa,0 to 2 Pre Monsoon (in mbgl)
2020-21,Haryana,Sirsa,10 to 20 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Tiruchirappalli,5 to 10 Pre Monsoon (in mbgl)
2021-22,Ladakh,Leh,10 to 20 Pre Monsoon (in mbgl)
2019-20,Goa,Pernem,2 to 5 Pre Monsoon (in mbgl)
2020-21,Telangana,Jayashankar Bhupalpally,10 to 20 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Lalitpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Kanpur Dehat,5 to 10 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Umaria,5 to 10 Pre Monsoon (in mbgl)
2019-20,Meghalaya,West Jaintia Hills,0 to 2 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Shamli,10 to 20 Pre Monsoon (in mbgl)
2019-20,Andaman and Nicobar Islands,Long Island,2 to 5 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Tuticorin,2 to 5 Pre Monsoon (in mbgl)
2020-21,Andaman and Nicobar Islands,South Andaman,0 to 2 Pre Monsoon (in mbgl)
2020-21,Karnataka,Belgaum,5 to 10 Pre Monsoon (in mbgl)
2019-20,Andaman and Nicobar Islands,Havelock Island,0 to 2 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Tiruvallur,5 to10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,East Kameng,0 to 2 Pre Monsoon (in mbgl)
2020-21,Telangana,Narayanpet,10 to 20 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Narayanpur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Odisha,Dhenkanal,5 to 10 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Coimbatore,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Saraikela Kharsawan,5 to 10 Pre Monsoon (in mbgl)
2019-20,Daman and Diu,Diu,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Gonda,2 to 5 Pre Monsoon (in mbgl)
2020-21,Odisha,Baleshwar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Dantewada,5 to 10 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Bijapur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Kerala,Kozhikode,2 to 5 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Tiruvannamalai,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Salcete,5 to 10 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Jalore,>40 Pre Monsoon (in mbgl)
2019-20,Arunachal Pradesh,West Siang,10 to 20 Pre Monsoon (in mbgl)
2021-22,Gujarat,Morbi,2 to 5 Pre Monsoon (in mbgl)
2020-21,West Bengal,Bardhaman,2 to 5 Pre Monsoon (in mbgl)
2019-20,Telangana,Wanaparthy,10 to 20 Pre Monsoon (in mbgl)
2021-22,Bihar,Buxar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Pratapgarh,5 to 10 Pre Monsoon (in mbgl)
2021-22,Punjab,Amritsar,10 to 20 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Jashpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Karnataka,Bidar,10 to 20 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Bareilly,5 to 10 Pre Monsoon (in mbgl)
2019-20,Karnataka,Yadgir,5 to 10 Pre Monsoon (in mbgl)
2019-20,Karnataka,Mysore,2 to 5 Pre Monsoon (in mbgl)
2019-20,Bihar,Katihar,5 to 10 Pre Monsoon (in mbgl)
2019-20,Odisha,Boudh,5 to 10 Pre Monsoon (in mbgl)
2020-21,Punjab,Mansa,10 to 20 Pre Monsoon (in mbgl)
2021-22,Telangana,Jangaon,10 to 20 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Baloda Bazar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Ramanathapuram,2 to 5 Pre Monsoon (in mbgl)
2019-20,Bihar,Madhubani,2 to 5 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Nanded,5 to 10 Pre Monsoon (in mbgl)
2020-21,Gujarat,Devbhumi Dwarka,2 to 5 Pre Monsoon (in mbgl)
2019-20,Andhra Pradesh,Srikakulam,2 to 5 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Tiruppur,2 to 5 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Dungarpur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Andhra Pradesh,West Godavari,10 to 20 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Katni,10 to 20 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Sultanpur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Himachal Pradesh,Hamirpur,2 to 5 Pre Monsoon (in mbgl)
2019-20,Telangana,Jagtial,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Singrauli,5 to 10 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Niwari,10 to 20 Pre Monsoon (in mbgl)
2021-22,Odisha,Nabarangapur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Ashok Nagar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Rewa,10 to 20 Pre Monsoon (in mbgl)
2021-22,Nagaland,Phek,20 to 40 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Kushinagar,0 to 2 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Namasai,2 to 5 Pre Monsoon (in mbgl)
2020-21,Telangana,Bhadradri Kothagudem,5 to 10 Pre Monsoon (in mbgl)
2021-22,Odisha,Balangir,2 to 5 Pre Monsoon (in mbgl)
2021-22,Odisha,Rayagada,2 to 5 Pre Monsoon (in mbgl)
2019-20,Andhra Pradesh,Guntur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Bareilly,5 to 10 Pre Monsoon (in mbgl)
2019-20,Karnataka,Ramanagara,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttarakhand,Champawat,5 to 10 Pre Monsoon (in mbgl)
2019-20,Gujarat,Panchmahal,10 to 20 Pre Monsoon (in mbgl)
2019-20,Kerala,Kozhikode,5 to 10 Pre Monsoon (in mbgl)
2019-20,Maharashtra,Latur,10 to 20 Pre Monsoon (in mbgl)
2019-20,Nagaland,Kohima,2 to 5 Pre Monsoon (in mbgl)
2020-21,Assam,Karbi Anglong,2 to 5 Pre Monsoon (in mbgl)
2020-21,Bihar,Sheikhpura,5 to 10 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Baran,5 to 10 Pre Monsoon (in mbgl)
2020-21,Assam,Jorhat,2 to 5 Pre Monsoon (in mbgl)
2019-20,Tripura,Sipahijala,2 to 5 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Erode,5 to 10 Pre Monsoon (in mbgl)
2021-22,Punjab,Barnala,20 to 40 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Sonbhadra,2 to 5 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Bhilwara,10 to 20 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Ajmer,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Fatehpur,2 to 5 Pre Monsoon (in mbgl)
2019-20,Assam,Golaghat,2 to 5 Pre Monsoon (in mbgl)
2021-22,Delhi,West Delhi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Palghar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Haryana,Kurukshetra,20 to 40 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Beed,10 to 20 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Latur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Gujarat,Dohad,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Lohardaga,5 to 10 Pre Monsoon (in mbgl)
2021-22,Punjab,Moga,20 to 40 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Meerut,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Mandla,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Farrukhabad,10 to 20 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Sagar,10 to 20 Pre Monsoon (in mbgl)
2021-22,Telangana,Medchal-Malkajgiri,10 to 20 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Aligarh,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Mahoba,5 to 10 Pre Monsoon (in mbgl)
2021-22,West Bengal,Howrah,0 to 2 Pre Monsoon (in mbgl)
2021-22,Odisha,Bhadrak,2 to 5 Pre Monsoon (in mbgl)
2021-22,Karnataka,Shimoga,10 to 20 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Nashik,5 to 10 Pre Monsoon (in mbgl)
2021-22,Punjab,Sas Nagar/Mohali,>40 Pre Monsoon (in mbgl)
2019-20,West Bengal,Nadia,5 to 10 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Mahoba,5 to 10 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Surajpur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Indore,5 to 10 Pre Monsoon (in mbgl)
2019-20,Himachal Pradesh,Una,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Firozabad,5 to 10 Pre Monsoon (in mbgl)
2021-22,Gujarat,Surat,5 to 10 Pre Monsoon (in mbgl)
2021-22,Punjab,Tarn Taran,10 to 20 Pre Monsoon (in mbgl)
2019-20,Odisha,Mayurbhanj,5 to 10 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Kota,2 to 5 Pre Monsoon (in mbgl)
2020-21,Bihar,Supaul,2 to 5 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Ghazipur,10 to 20 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Viluppuram,2 to 5 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Jaisalmer,20 to 40 Pre Monsoon (in mbgl)
2021-22,Kerala,Alappuzha,2 to 5 Pre Monsoon (in mbgl)
2021-22,Goa,Quepem,5 to 10 Pre Monsoon (in mbgl)
2021-22,Nagaland,Dimapur,10 to 20 Pre Monsoon (in mbgl)
2021-22,Odisha,Boudh,5 to 10 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Beed,10 to 20 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Chennai,2 to 5 Pre Monsoon (in mbgl)
2019-20,Odisha,Angul,5 to 10 Pre Monsoon (in mbgl)
2020-21,Assam,Karimganj,0 to 2 Pre Monsoon (in mbgl)
2021-22,Assam,Chirang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Sonitpur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Karnataka,Chikmagalur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Goa,North Goa,2 to 5 Pre Monsoon (in mbgl)
2020-21,Gujarat,Panchmahal,5 to 10 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Kanker (North Bastar),5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Auraiya,5 to 10 Pre Monsoon (in mbgl)
2019-20,West Bengal,Bankura,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Fatehpur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Karnataka,Bangalore Rural,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Pudukkottai,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Morena,5 to 10 Pre Monsoon (in mbgl)
2021-22,Haryana,Karnal,20 to 40 Pre Monsoon (in mbgl)
2021-22,Karnataka,Davangere,5 to 10 Pre Monsoon (in mbgl)
2019-20,Punjab,Gurdaspur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Kerala,Kannur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Dhar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Ramban,2 to 5 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Buldana,5 to 10 Pre Monsoon (in mbgl)
2019-20,Odisha,Puri,2 to 5 Pre Monsoon (in mbgl)
2019-20,Himachal Pradesh,Chamba,N.A. Pre Monsoon (in mbgl)
2020-21,Bihar,Buxar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Durg,2 to 5 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Tiruchirappalli,5 to 10 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Firozabad,5 to 10 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Korba,2 to 5 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Deoria,2 to 5 Pre Monsoon (in mbgl)
2020-21,Telangana,Suryapet,10 to 20 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Banswara,5 to 10 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Wardha,5 to 10 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Shajapur,10 to 20 Pre Monsoon (in mbgl)
2019-20,Odisha,Kendrapara,2 to 5 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Hanumangarh,20 to 40 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Bastar,2 to 5 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Durg,5 to 10 Pre Monsoon (in mbgl)
2019-20,Maharashtra,Ratnagiri,5 to 10 Pre Monsoon (in mbgl)
2020-21,Haryana,Kurukshetra,>40 Pre Monsoon (in mbgl)
2020-21,Kerala,Kozhikode,5 to 10 Pre Monsoon (in mbgl)
2020-21,Telangana,Warangal Rural,10 to 20 Pre Monsoon (in mbgl)
2020-21,Punjab,Sas Nagar/Mohali,20 to 40 Pre Monsoon (in mbgl)
2021-22,Haryana,Yamuna Nagar,10 to 20 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Hoshangabad,5 to 10 Pre Monsoon (in mbgl)
2020-21,Telangana,Peddapalli,5 to 10 Pre Monsoon (in mbgl)
2021-22,Punjab,Ludhiana,20 to 40 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Ambedkar Nagar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Mumbai City,2 to 5 Pre Monsoon (in mbgl)
2019-20,Punjab,Moga,20 to 40 Pre Monsoon (in mbgl)
2021-22,Goa,Bardez,2 to 5 Pre Monsoon (in mbgl)
2019-20,Assam,Kamrup (Metro),2 to 5 Pre Monsoon (in mbgl)
2019-20,Assam,Nagaon,2 to 5 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Jhansi,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Pratapgarh,5 to 10 Pre Monsoon (in mbgl)
2019-20,Gujarat,Junagadh,10 to 20 Pre Monsoon (in mbgl)
2019-20,Jharkhand,Latehar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Lucknow,10 to 20 Pre Monsoon (in mbgl)
2021-22,Odisha,Gajapati,2 to 5 Pre Monsoon (in mbgl)
2020-21,Bihar,Madhepura,2 to 5 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Buldana,5 to 10 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Sheopur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Tonk,2 to 5 Pre Monsoon (in mbgl)
2021-22,Gujarat,Valsad,2 to 5 Pre Monsoon (in mbgl)
2020-21,Kerala,Thrissur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Telangana,Mancherial,5 to 10 Pre Monsoon (in mbgl)
2019-20,Telangana,Khammam,2 to 5 Pre Monsoon (in mbgl)
2020-21,Punjab,Faridkot,5 to 10 Pre Monsoon (in mbgl)
2019-20,Bihar,Siwan,2 to 5 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Gariyaband,5 to 10 Pre Monsoon (in mbgl)
2019-20,Delhi,West Delhi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Salem,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttarakhand,Tehri Garhwal,10 to 20 Pre Monsoon (in mbgl)
2020-21,Karnataka,Tumkur,2 to 5 Pre Monsoon (in mbgl)
2019-20,Tripura,Dhalai,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Kameng,0 to 2 Pre Monsoon (in mbgl)
2020-21,Bihar,Khagaria,5 to 10 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Bhandara,5 to 10 Pre Monsoon (in mbgl)
2019-20,Kerala,Thiruvananthapuram,5 to 10 Pre Monsoon (in mbgl)
2021-22,Karnataka,Uttara Kannada,5 to 10 Pre Monsoon (in mbgl)
2020-21,West Bengal,Howrah,0 to 2 Pre Monsoon (in mbgl)
2019-20,Assam,Nalbari,5 to 10 Pre Monsoon (in mbgl)
2021-22,Gujarat,Panchmahal,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Faizabad,5 to 10 Pre Monsoon (in mbgl)
2020-21,Karnataka,Chamarajanagar,5 to 10 Pre Monsoon (in mbgl)
2020-21,West Bengal,Jalpaiguri,0 to 2 Pre Monsoon (in mbgl)
2021-22,Assam,Jorhat,2 to 5 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Washim,5 to 10 Pre Monsoon (in mbgl)
2019-20,Delhi,Shahdara,10 to 20 Pre Monsoon (in mbgl)
2021-22,Nagaland,Tuensang,20 to 40 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Jaunpur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Maharajganj,2 to 5 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Jodhpur,>40 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Sangli,5 to 10 Pre Monsoon (in mbgl)
2020-21,Assam,Udalguri,2 to 5 Pre Monsoon (in mbgl)
2019-20,Gujarat,Devbhumi Dwarka,10 to 20 Pre Monsoon (in mbgl)
2019-20,Telangana,Jogulamba Gadwal,10 to 20 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Yavatmal,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Allahabad,2 to 5 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Seoni,2 to 5 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Mirzapur,2 to 5 Pre Monsoon (in mbgl)
2020-21,Kerala,Idukki,2 to 5 Pre Monsoon (in mbgl)
2019-20,Assam,Sonitpur,2 to 5 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Surguja,5 to 10 Pre Monsoon (in mbgl)
2019-20,Gujarat,Valsad,5 to 10 Pre Monsoon (in mbgl)
2020-21,Himachal Pradesh,Kangra,2 to 5 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Lalitpur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Bandipora,0 to 2 Pre Monsoon (in mbgl)
2021-22,Bihar,Bhojpur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Odisha,Jharsuguda,5 to 10 Pre Monsoon (in mbgl)
2020-21,Assam,Darrang,2 to 5 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Thane,2 to 5 Pre Monsoon (in mbgl)
2020-21,West Bengal,Hooghly,10 to 20 Pre Monsoon (in mbgl)
2021-22,Karnataka,Chikballapura,2 to 5 Pre Monsoon (in mbgl)
2021-22,Jharkhand,Godda,5 to 10 Pre Monsoon (in mbgl)
2021-22,Tripura,Khowai,2 to 5 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Jaunpur,0 to 2 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Faizabad,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Bicholim,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Karimganj,0 to 2 Pre Monsoon (in mbgl)
2019-20,Himachal Pradesh,Shimla,N.A. Pre Monsoon (in mbgl)
2019-20,Assam,Goalpara,2 to 5 Pre Monsoon (in mbgl)
2019-20,Gujarat,Navsari,5 to 10 Pre Monsoon (in mbgl)
2021-22,Nagaland,Longleng,20 to 40 Pre Monsoon (in mbgl)
2019-20,Goa,Mormugao,2 to 5 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Simdega,5 to 10 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Dhaulpur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Etah,5 to 10 Pre Monsoon (in mbgl)
2021-22,West Bengal,Nadia,5 to 10 Pre Monsoon (in mbgl)
2019-20,Haryana,Karnal,20 to 40 Pre Monsoon (in mbgl)
